gene,logFC(Z6/E14Tg2a),logFC(OKO160/E14Tg2a),logFC(Z6/OctGip),logFC(OKO160/OctGip)
2310030N02Rik,-0.0272,0.013,-0.0147,0.0255
Rasl11a,0.1467,0.3996,-0.0737,0.1792
Slc26a6,0.0212,-0.0206,0.0076,-0.0342
Phospho2,0.0335,-0.1013,0.0044,-0.1304
Ttl,0.1218,0.0353,0.1687,0.0822
Urb2,0.0144,-0.0508,-0.1272,-0.1924
Scrt2,0.019,-0.0318,0.0087,-0.0421
Rtel1,-0.3953,-0.1192,-0.3305,-0.0545
BC016201,-0.0183,-0.0462,0.0134,-0.0145
Hn1,0.0562,-0.1,-0.0337,-0.1899
2810474O19Rik,-0.3303,-0.3125,-0.1976,-0.1799
Fn3k,0.0451,0.0203,0.0251,3.27306272028594E-4
AC124106.1,0.0367,0.0861,0.0303,0.0797
Fn3krp,0.0277,0.0221,0.0322,0.0266
Zzef1,0.01,0.0615,-0.0565,-0.005
4930578N16Rik,-0.0803,-0.0516,-0.0542,-0.0255
Ece1,0.1071,0.1866,-0.1547,-0.0752
Zc3h6,0.0389,0.0767,0.0363,0.0741
Hpca,0.2412,0.217,0.032,0.0079
2310046K01Rik,0.7341,0.9986,0.645,0.9095
Slc4a3,0.0517,0.0596,-0.0164,-0.0085
Ywhae,-0.1296,-0.2341,0.0369,-0.0675
Nt5c,-0.2635,-0.2042,-0.2454,-0.186
Btnl9,-0.0107,-0.0168,-0.0013,-0.0074
Tlcd1,0.039,0.1835,0.0924,0.2369
2610024G14Rik,0.1539,0.2764,0.1029,0.2254
Rab40b,-0.0106,0.0024,-0.0382,-0.0253
AL833780.4,0.0823,0.1381,0.0366,0.0924
Bcl6b,-0.1655,-0.1314,-0.3723,-0.3382
Zc3h8,0.0228,0.0553,-0.1165,-0.084
Saa2,-0.0084,-0.0393,-0.0317,-0.0626
Fzd9,-0.0013,-0.0377,0.0184,-0.018
Pkp4,0.2737,0.2484,0.0852,0.0599
Armc7,-0.0704,-0.0233,-6.91E-04,0.0464
Fam110a,0.2982,0.457,0.2091,0.3679
Treml1,0.0038,0.0184,0.0032,0.0178
Rpl21,-0.0502,0.2493,0.1004,0.3999
Stmn3,-0.2817,-0.0228,-0.2564,0.0024
Sepn1,0.0572,-0.1938,0.1187,-0.1324
Cep110,0.0276,0.023,0.0473,0.0426
Angpt4,-0.0133,0.0035,0.0224,0.0392
Mxd1,-0.0195,-0.0208,0.0251,0.0239
Fbln7,-0.0932,-0.015,-0.0737,0.0046
AC175490.1,-0.0161,0.0178,-0.0588,-0.0249
Chst15,-0.095,-0.1456,-0.0401,-0.0907
Cryba2,0.048,0.0488,0.0566,0.0574
Gtdc1,-0.1403,-0.0879,-0.089,-0.0366
Pax8,0.006,0.0179,-0.0119,1.16931113505636E-4
Gmeb2,-0.0244,0.1213,-0.0353,0.1103
Wdr45l,-0.0407,-0.1586,0.0453,-0.0725
Slc16a5,-0.0038,-0.0547,0.0469,-0.0039
Tmem80,-0.0115,-0.0395,-0.0718,-0.0998
Bnip2,-0.2744,-0.465,-0.1365,-0.3271
Tmem54,-0.422,-0.6587,-0.5389,-0.7756
Cttn,-0.03,0.0318,-0.0169,0.045
Slc29a4,-0.0277,0.0317,-0.0056,0.0538
4933422H20Rik,0.0271,0.0461,0.0468,0.0657
Supt5h,0.0323,-0.0532,0.095,0.0095
Rnpep,0.5792,0.3314,0.475,0.2273
Psmf1,0.3136,0.124,0.1029,-0.0866
Piwil1,0.1133,0.2061,0.0512,0.144
Tmem87b,0.0131,-0.0642,0.0258,-0.0515
Slc16a13,-0.1447,-0.1381,-0.1239,-0.1173
5430405G05Rik,-0.0374,-0.0177,0.006,0.0257
Fam54b,-0.1054,-0.0402,-0.078,-0.0129
Pcolce,-7.74E-04,0.3228,0.0323,0.3558
Fzd10,-0.1643,0.54,-0.2641,0.4402
Adcy7,-0.0644,-0.0465,-0.0066,0.0113
Slc24a2,-0.0088,-0.032,0.0096,-0.0135
Unc13c,-0.0104,-0.0416,0.0378,0.0066
BC006779,0.014,0.1438,0.0267,0.1565
Asprv1,-0.0133,0.1254,-0.0647,0.0741
Alpl,0.1779,0.1137,0.2369,0.1728
Ccdc148,0.0089,0.0063,0.03,0.0274
Foxk2,0.1305,0.136,0.153,0.1585
Tgs1,0.0071,-0.0294,-0.0508,-0.0873
Baz1b,0.0466,0.1147,-0.0182,0.0499
Kctd2,0.0856,0.0355,0.153,0.1029
Crk,-0.0302,-0.0474,-0.0532,-0.0704
Rragc,-0.2452,-0.1872,-0.0209,0.0371
BC051628,0.0118,0.0558,-0.0796,-0.0356
Foxb1,-0.0216,0.0409,-5.64E-04,0.0619
Trem2,-0.0857,-0.1499,-0.0689,-0.1331
Cyb5d2,0.0696,0.0437,-0.0108,-0.0367
Xlr5c,0.0256,0.0407,0.0254,0.0405
9930013L23Rik,-0.0498,-0.0759,-0.0336,-0.0597
Wipi2,-0.1856,-0.0546,-0.0689,0.0621
Xpo6,0.1721,0.2699,-0.1177,-0.0198
Fev,-0.0201,0.0103,0.0021,0.0325
Srms,0.037,0.0975,0.0482,0.1086
Usp12,0.0505,0.0032,0.1208,0.0734
Mertk,-0.0618,-0.0933,0.0318,2.75734578794484E-4
Rnf19b,0.0582,0.0289,0.0715,0.0421
AC150648.1,-0.0366,-0.0548,-0.0195,-0.0378
Taf5l,-0.2048,-0.0608,-0.216,-0.072
Cpxm2,0.0668,0.0353,0.0216,-0.01
RP23-297N24.8,-0.0921,0.1039,-0.0862,0.1099
Narf,0.0312,-0.0096,0.0243,-0.0165
Olfr1394,0.0355,0.0213,0.0268,0.0126
Lrig2,0.0314,0.0611,-0.0552,-0.0255
Ptk6,-0.0522,-0.025,-0.0048,0.0225
Gpr26,0.0342,-0.0039,-0.0375,-0.0756
Bcl7b,-0.0218,-0.0402,0.0028,-0.0156
AI182371,0.0453,0.0661,0.0401,0.0609
Pcbp1,-0.0407,0.1523,-0.0986,0.0944
Atp5h,0.0124,-0.1233,0.0924,-0.0433
Gpn1,-0.2395,-0.2817,-0.1586,-0.2008
Nek8,0.0261,0.0835,0.0197,0.0771
Deaf1,-0.0335,-0.0558,0.0229,5.82599123823968E-4
5930412G12Rik,-0.0391,-0.028,-0.0462,-0.035
Mospd3,-0.0957,0.1185,-0.0574,0.1568
Xlr3c,0.0414,0.0548,-0.0118,0.0015
4932441K18Rik,-0.2486,-0.423,-0.1317,-0.3061
Ppdpf,0.1146,0.4706,-0.0375,0.3184
Snph,0.1175,0.0731,0.0057,-0.0387
Epb4.1l4b,0.227,0.031,0.1135,-0.0825
AC159994.1,5.49E-04,-0.0493,0.041,-0.0089
Gpr12,0.0124,-0.0197,0.0539,0.0218
Mmd2,-0.1599,-0.1387,-0.2141,-0.1929
Ict1,0.2368,0.1067,0.1807,0.0507
Mycbp,0.0274,0.0797,0.0415,0.0937
AC093356.5,-0.0376,0.0122,0.0065,0.0564
Papolb,-0.058,-0.0081,-0.055,-0.0051
Tmem132d,-0.0138,-0.0087,-0.0222,-0.0171
Olfr1395,-0.0309,0.0075,0.0105,0.0489
Sdcbp2,-0.1287,-0.2012,-0.1838,-0.2564
Tmpo,-0.0966,-0.0943,0.0782,0.0805
Drd4,0.1628,0.0479,0.0441,-0.0707
Eef1a2,-0.0187,-0.0879,0.01,-0.0593
Upp2,0.0111,0.0947,-0.0227,0.0609
Sertad2,-0.2549,-0.4649,-0.1805,-0.3905
Atp1a1,0.262,0.2185,0.2913,0.2478
Rhbdl2,-0.0351,-0.0979,0.0243,-0.0385
Mesdc2,0.0359,0.0093,0.0016,-0.025
4930548H24Rik,-0.053,0.0025,-0.0492,0.0063
Saa1,0.0798,0.0507,0.0653,0.0362
Glt1d1,-0.181,-0.0313,-0.24,-0.0903
Gm5546,0.0066,-0.006,0.0141,0.0015
Paqr7,0.0243,0.0295,-0.0047,4.63191391008699E-4
Zfp668,0.0059,-0.0629,0.0569,-0.0118
BC017643,-0.0176,-0.1446,0.0041,-0.123
Shank2,-0.0577,-0.0447,-0.0086,0.0044
Elf3,0.601,0.3773,0.3936,0.1699
Rsl24d1,-0.0265,0.1193,-0.086,0.0598
Sct,0.7164,-0.0885,0.3327,-0.4723
Akirin1,0.0981,-0.0535,0.128,-0.0236
Hmx2,0.0518,0.0895,0.0633,0.101
Cdr2l,0.2552,0.2176,0.1254,0.0878
AC093356.1,-0.0376,0.0122,0.0065,0.0564
Plekhf2,-0.0528,-0.178,0.056,-0.0692
Abcb10,0.0298,0.0588,-0.0102,0.0188
Acer2,-0.249,-0.2795,-0.257,-0.2875
Traf4,-0.0282,-0.2493,-0.131,-0.3521
6430704M03Rik,-0.0398,0.0023,-0.0205,0.0217
Mesdc1,0.0623,0.077,0.0753,0.09
Trfr2,0.0016,-0.0209,-0.0098,-0.0323
Hexdc,0.2314,-0.0425,0.3087,0.0348
4930449I24Rik,-0.0376,0.0122,0.0065,0.0564
B430306N03Rik,0.0519,0.0402,-0.0098,-0.0216
Arhgap15,0.0087,0.0494,-0.033,0.0077
Hc,-0.0687,0.0353,-0.0385,0.0656
AC133502.2,0.0267,0.0428,-0.0293,-0.0131
1110031I02Rik,0.0837,0.0861,-0.0655,-0.0632
BC017647,0.1872,-0.1404,0.0331,-0.2945
Timm50,0.1177,-0.1507,0.0656,-0.2028
Ano2,0.0263,0.102,-0.0228,0.053
AC093356.3,-0.0376,0.0122,0.0065,0.0564
2410004A20Rik,2.0683,1.3582,2.3253,1.6152
Fmo2,0.0234,0.0588,-0.0133,0.0222
4930449I24Rik,-0.0135,0.0107,-0.0507,-0.0266
C630004H02Rik,0.0315,0.0523,0.0058,0.0266
Ppig,-0.1438,-0.1242,-0.0707,-0.0512
Mrc1,-0.0657,-0.0465,-0.013,0.0062
Tbl2,0.229,0.1483,0.1207,0.04
AC093356.4,-0.0376,0.0122,0.0065,0.0564
D430042O09Rik,-0.0772,-0.0518,-0.1185,-0.0931
Ankfy1,0.1606,0.1047,0.0999,0.044
C87436,-0.188,-0.1407,-0.0029,0.0443
Kcnmb1,0.0047,0.0592,-0.0574,-0.0028
Fkbp1a,-0.3566,-0.3551,-0.3715,-0.37
Lztfl1,0.0086,0.0435,0.0049,0.0398
Fam23a,0.0087,-0.0025,0.0568,0.0456
Rest,-0.024,0.0098,-0.0323,0.0016
Dsel,-0.1144,-0.1406,-0.1002,-0.1264
Otop3,-0.0598,-0.051,0.0138,0.0226
Treml2,-0.0582,0.0126,-0.0582,0.0127
Coq10a,-0.0272,0.0215,0.0153,0.064
Shkbp1,-0.0201,-0.0269,-0.0197,-0.0264
1700026D08Rik,0.0824,0.056,0.0528,0.0264
Saa4,0.0084,-0.0181,-0.0328,-0.0593
Hmx3,-0.0021,0.0334,0.0102,0.0457
Kcnq2,-0.0132,0.0945,-0.0488,0.0589
Ccni,-0.013,-0.0244,-0.0358,-0.0471
Uts2r,-0.0397,-0.0505,-0.0606,-0.0714
Lmo3,-0.0682,-0.0293,-0.0756,-0.0367
Klk6,0.0012,-0.0133,-0.0026,-0.017
Ube2g1,-0.2766,-0.4067,-0.094,-0.2241
Tex19.1,0.6982,0.6303,0.3076,0.2397
Fastkd1,0.0701,-0.0654,0.0614,-0.074
Slc16a11,0.0809,0.034,0.0392,-0.0077
Olfr1396,-0.0053,0.021,0.0144,0.0408
Tex19.2,0.1795,-0.1278,0.1215,-0.1859
8430408G22Rik,0.0198,-0.0203,0.0541,0.014
Bcl2l11,0.1945,0.4601,0.0287,0.2942
Stk11ip,0.0211,0.0447,0.0791,0.1027
Msh4,0.1212,0.1982,0.0946,0.1716
1700022K14Rik,0.0044,-0.0078,-0.0543,-0.0664
Ush1g,-0.0058,-0.0223,-0.0391,-0.0556
Nsfl1c,-0.0911,-0.0544,-0.0296,0.0071
Cryzl1,0.357,0.2198,0.4045,0.2673
Gpr37l1,-0.0397,-0.0266,0.0114,0.0245
Cdhr5,0.0669,0.0181,0.0351,-0.0137
Ak2,0.309,0.4304,0.1971,0.3185
Stim2,-0.0475,0.0402,-0.0274,0.0603
Saa3,0.0217,0.0069,0.0474,0.0327
Acoxl,0.1651,0.1231,0.1416,0.0996
4921509C19Rik,-0.0133,-0.0466,-0.0057,-0.039
Asb17,0.068,0.0692,0.0576,0.0588
Spp1,-0.2111,0.3965,-0.1178,0.4898
Slc25a3,-0.1351,-0.2901,0.2273,0.0723
Kbtbd10,0.0239,0.0098,0.0093,-0.0047
Ppm1b,-0.3814,-0.1264,-0.4799,-0.2249
Inha,0.027,-0.0218,0.0877,0.0388
Sectm1a,0.0148,0.0456,0.0121,0.0429
Papd5,0.0323,0.0244,0.006,-0.0019
Otop2,0.0404,7.62E-04,0.036,-0.0037
Actl6b,-0.0337,0.0475,0.0151,0.0963
Stx4a,-0.2309,-0.1444,-0.133,-0.0464
Wnt6,0.5604,0.8611,0.6083,0.909
Rab27a,1.0314,1.3831,1.0472,1.3989
Atf2,0.0182,0.0655,0.0359,0.0831
1300017J02Rik,-0.0237,-0.0697,0.0099,-0.036
Rps6,-0.0091,-0.0928,0.1169,0.0331
9430002A10Rik,-0.0206,0.0482,-0.0601,0.0086
Fads6,0.7757,0.2399,0.767,0.2313
Phf8,0.0164,-0.0272,0.0502,0.0065
Sectm1b,-0.0075,0.061,-0.0651,0.0034
Gne,-0.1258,-0.0931,-0.1199,-0.0872
4833442J19Rik,-0.052,-0.0754,0.0276,0.0043
Tmem68,-0.0597,-0.1145,0.0358,-0.019
Chd3,0.0502,0.0318,0.0725,0.0542
Nxf7,-0.1415,-0.1514,-0.0199,-0.0298
Spns3,0.0404,0.0171,-0.0069,-0.0302
Radil,-0.0776,-0.1169,-0.1156,-0.1549
AC116389.1,-0.064,-0.0466,-0.012,0.0054
Prss39,-0.0175,-0.001,0.044,0.0604
Fdxr,0.3163,0.2883,0.2662,0.2382
Chrna4,-0.0738,-0.0771,-0.0131,-0.0165
Cd7,-0.0112,0.0109,-0.0135,0.0086
Praf2,0.016,0.0277,0.075,0.0867
Mepe,0.0405,0.0697,0.032,0.0611
Ogt,0.2126,0.2586,0.1849,0.231
Ikzf5,-0.0606,-0.0305,-0.0489,-0.0187
Slc6a20a,0.0295,0.0148,0.0129,-0.0018
Nanp,0.0392,-0.0408,0.0527,-0.0273
Zfp365,-0.0443,-0.1302,-0.0894,-0.1753
Gm5138,-0.1168,-0.1361,-0.0247,-0.044
Stx1b,-0.0354,-0.0055,-0.0464,-0.0164
5730460C07Rik,-0.0203,0.0208,-0.0447,-0.0036
A030009H04Rik,0.0506,0.0329,0.003,-0.0146
Bub1,0.0182,-0.035,0.1027,0.0495
Itga9,-0.1044,0.4992,-0.0661,0.5374
Wnk1,0.1199,-0.2006,0.1629,-0.1576
Cdh19,0.0568,0.0624,-0.0095,-0.0039
Ndufs5,0.2096,0.0456,0.3087,0.1448
Eral1,-0.0029,-0.0494,-0.0402,-0.0867
Spink2,0.0424,-0.1232,-0.1096,-0.2753
Igf1,-0.0169,-0.0255,-0.0014,-0.0099
Larp7,0.0468,0.0253,-0.0115,-0.033
Traf1,0.1986,0.1001,0.1866,0.0881
Apod,0.3151,0.377,0.2024,0.2643
RP23-351B24.3,-0.0071,0.023,-0.0547,-0.0246
Wasf3,-0.0165,0.0167,-0.0076,0.0256
Stmn1,-0.4601,-0.2933,-0.1555,0.0113
Psd4,0.0406,0.0977,-0.0227,0.0345
Klk7,0.0765,0.0875,-3.37E-04,0.0107
Grin2c,-0.1209,-0.1292,-0.0213,-0.0296
Mgl1,0.1434,0.0579,0.1096,0.0241
Mgst1,-0.0065,-0.0711,-0.1581,-0.2228
Csnk1d,0.0597,-0.1719,-0.07,-0.3017
Ppm1m,-0.0522,-0.1929,0.1624,0.0218
Igsf3,0.2972,0.2594,0.3117,0.2738
1500011K16Rik,0.1123,0.2311,-0.0928,0.026
Cog4,0.1943,0.0307,0.0794,-0.0842
Ifi47,-0.0257,0.0091,-0.0375,-0.0028
Col20a1,0.0983,0.0239,0.1137,0.0393
Acvr1,-0.0173,-0.1327,-0.0419,-0.1573
Slc15a4,0.0271,0.0605,0.0338,0.0673
Sep-11,-0.0053,-0.0357,0.0314,8.95022572887427E-4
Ibsp,-0.0695,-0.0248,-0.055,-0.0103
Celsr3,-0.0901,-0.2524,-0.1154,-0.2776
Tgtp2,-0.1206,-0.0583,-0.085,-0.0227
Mpnd,0.044,-0.2082,0.1833,-0.0689
AV320801,-0.0037,-0.0454,0.0078,-0.0339
Emid1,0.0489,0.0294,0.0344,0.0149
9230112E08Rik,0.0099,0.0723,-0.0141,0.0483
Dhx57,-0.007,0.0284,0.0242,0.0596
Irf7,-0.0146,-0.0196,-0.039,-0.0441
Phf19,0.2334,0.068,0.149,-0.0164
Pstk,-0.0058,0.0496,0.0539,0.1093
Il16,-0.025,-0.0678,0.0451,0.0022
Ninl,0.1665,0.2096,0.3214,0.3646
Mlxipl,0.2304,-0.0411,0.1658,-0.1057
C330006K01Rik,-0.1058,-0.1106,-0.0512,-0.0561
St6galnac3,0.0365,0.024,0.0213,0.0088
Odz3,-0.0475,-0.038,-0.1195,-0.1101
Nphp1,0.0664,0.0979,-0.0138,0.0177
Rap1gap,-0.0195,0.0387,0.0026,0.0608
Kcnab3,-0.001,0.0897,0.0484,0.1392
Spns2,0.0379,0.0095,0.0684,0.04
Wdr69,-0.0054,-0.0176,-0.0237,-0.0359
Dennd5b,-0.0021,0.0514,-0.0444,0.0091
Ubr2,0.0988,0.0905,0.0843,0.076
Tpm2,-0.6206,-1.1156,-0.5822,-1.0772
Tmem132c,-0.0269,0.0213,-0.0315,0.0167
Slc16a3,-0.1394,-0.1798,-0.1165,-0.1569
Fam120c,-0.0069,0.014,-0.0394,-0.0185
Mall,0.0895,0.055,0.074,0.0395
Slc6a20b,-0.612,-0.5591,-0.5021,-0.4492
Gins1,0.3497,0.4478,0.1221,0.2201
Arfgap1,0.0014,-0.1025,0.0185,-0.0854
9930111J21Rik1,0.0554,0.0353,-0.0352,-0.0553
AC131184.1,0.1661,0.1742,0.0591,0.0673
Ttc3,-0.0733,-0.107,-0.0509,-0.0846
Adc,0.0297,0.0294,-0.0026,-0.0028
Atrx,-0.0185,-0.0593,-0.0549,-0.0957
Nat9,0.1476,0.1299,0.0485,0.0308
Cpne2,0.1538,-0.0196,0.039,-0.1344
Akr1b3,-0.2681,-0.4245,-0.2806,-0.437
Ccdc57,0.0195,0.0561,0.0148,0.0514
Xlr4c,0.0775,0.006,0.0928,0.0212
Rgs8,-0.0254,0.0186,-0.0081,0.0358
Dhcr7,0.0098,-0.0646,-0.0535,-0.1279
Ado,0.0146,0.0897,-0.0958,-0.0208
Mcm2,0.2057,0.353,-0.036,0.1114
Slc9a3r1,0.0678,-0.0828,0.2704,0.1198
RP23-351B24.2,-0.0071,0.023,-0.0547,-0.0246
Gtf3c1,-0.1649,-0.0925,-0.1623,-0.0899
Abhd12,0.0049,0.042,0.0281,0.0652
Mal,-0.002,-0.0466,0.0347,-0.0099
Cdk8,-0.0286,-0.2145,0.0194,-0.1664
AC100382.1,0.0257,0.0027,0.0386,0.0156
Zfp512,-0.3366,-0.3199,-0.3222,-0.3055
Atp2b1,-0.1718,-0.1714,-0.0466,-0.0462
Rnf6,0.1189,-0.1963,-0.082,-0.3971
Myo1c,0.002,0.026,-0.0102,0.0139
Nkain4,0.046,0.0802,0.0574,0.0916
Slc15a5,-0.0508,-0.0377,-0.0416,-0.0284
D730039F16Rik,0.0839,0.0214,0.0104,-0.0522
1700001J03Rik,-0.0354,-0.0565,0.011,-0.0101
Hsd3b7,-0.1741,0.2545,-0.1302,0.2985
AC113316.1,-0.0376,0.0122,0.0065,0.0564
Cd300lf,-2.95E-04,0.0166,-0.012,0.0049
Pygb,0.0715,0.003,-0.0014,-0.07
AL954707.3,0.2863,0.1094,0.276,0.0992
Trappc1,0.4025,0.2876,0.4567,0.3418
Birc7,0.2863,0.1094,0.276,0.0992
Mtmr3,0.3683,0.1525,0.285,0.0692
Gins4,0.235,0.2512,0.1319,0.148
Aacs,0.1243,0.0755,0.0574,0.0086
Npnt,-0.0631,-0.0314,-0.0651,-0.0334
Ppp1r3a,-0.002,0.0013,0.022,0.0253
Kcnip1,-2.23E-04,-0.0394,-0.006,-0.0452
Fmo1,0.025,-0.0468,0.0557,-0.0161
Nadsyn1,0.1027,0.0211,0.0916,0.01
Klk8,0.2689,0.2936,-0.2625,-0.2378
Mrps5,0.3819,0.3267,0.0149,-0.0403
Ythdf1,-0.2341,-0.0981,-0.1325,0.0035
Gemin6,-0.0633,0.0012,-0.0389,0.0255
Arl8a,-0.033,-0.4556,-0.0172,-0.4398
Mmp16,-0.0206,-0.0451,-0.0273,-0.0517
Npl,0.0151,-0.0124,0.0382,0.0107
Treml4,0.0628,0.0761,0.0245,0.0378
Mgl2,0.1434,0.0579,0.1096,0.0241
D130052B06Rik,-0.004,0.0018,-0.0023,0.0035
Rad52,-0.0615,-0.1921,0.0838,-0.0468
Bhlhe23,0.0456,0.0171,0.0326,0.0041
Psmd5,-0.0466,-0.0723,-0.0061,-0.0318
Axin1,-0.0835,-0.0353,-0.0342,0.0139
Epb4.1,0.0736,-0.3676,0.1122,-0.3291
AI451557,0.0018,0.0368,-0.0094,0.0256
4921510H08Rik,-0.0255,-0.0322,0.0111,0.0044
Gsc2,0.0633,0.0381,-0.0012,-0.0265
Fgf16,0.0056,0.0482,-0.0233,0.0193
Dnajc30,0.1067,0.0169,0.0052,-0.0846
Tbc1d19,-0.0884,-0.1536,-0.0565,-0.1217
3110021A11Rik,0.0421,0.013,0.0059,-0.0232
Ikbip,0.0387,-0.0391,0.052,-0.0259
Chga,0.1518,0.2555,0.0473,0.1511
Wnk3,-0.0525,-0.0485,-0.0565,-0.0524
D730040F13Rik,0.0115,0.0176,0.0114,0.0174
Rab37,-0.0224,0.0421,-0.0268,0.0377
Slc17a9,0.1957,0.425,0.121,0.3503
Bclp2,0.0023,0.0284,-0.005,0.0211
Pigb,0.0677,0.0129,0.0854,0.0307
Bbs5,-0.3138,-0.3232,-0.0028,-0.0122
Trim62,-0.0784,-0.0426,0.02,0.0558
Dennd4c,0.0656,0.0346,0.0163,-0.0147
Fam24a,0.0191,-0.0017,0.0333,0.0125
Wdr82,-0.0865,-0.0458,-0.0565,-0.0158
Tpbpb,0.0061,0.0063,-0.0261,-0.0258
Trim2,-0.9416,-0.8563,-0.7577,-0.6723
Flot2,-0.3072,-0.3413,0.0034,-0.0307
Il21r,0.0296,-0.0102,0.0427,0.0029
2310003C23Rik,0.1974,0.425,-0.1131,0.1145
Fitm1,0.0801,-0.0063,0.0671,-0.0193
1700007K09Rik,0.0161,0.0492,-0.0352,-0.002
Fasn,-0.0124,-0.1093,0.095,-0.0018
Cs,0.0521,-0.1361,0.1596,-0.0286
Dysf,0.0481,0.1069,-0.0117,0.0471
AC159313.1,0.0138,-0.0449,0.0325,-0.0262
Zfp362,0.1317,0.1039,0.174,0.1462
Stard5,0.2077,-0.1574,0.1904,-0.1747
Stap2,0.0133,0.0673,-0.0178,0.0363
Nup133,-0.1286,-0.1422,-0.1947,-0.2082
Tgtp1,-0.1206,-0.0583,-0.085,-0.0227
Rassf4,0.0252,-0.1095,2.27E-04,-0.1344
Gm5128,0.0397,0.0393,0.0393,0.0389
Ttc39d,-0.1034,-0.0901,-0.0892,-0.0759
Ccl20,-0.0578,-0.0413,-0.0725,-0.0559
Actr3,-0.1983,-0.2932,0.0155,-0.0794
Entpd6,-0.0581,-0.1192,-0.0213,-0.0824
1810046K07Rik,0.0195,-0.0146,0.0433,0.0092
Pafah2,0.1554,0.2005,0.0234,0.0685
Klk9,0.0506,0.0219,0.0208,-0.008
Shoc2,0.0588,0.0248,0.0143,-0.0197
Cypt2,0.0188,0.0485,0.0032,0.0329
Clm3,0.0436,0.0674,0.0613,0.0851
1700027A23Rik,-0.0034,-0.0962,-0.075,-0.1678
Fam60a,-0.8456,-0.754,-0.5168,-0.4252
Cntrob,0.0272,0.0331,-0.0036,0.0023
Dntt,0.0279,7.98E-04,0.029,0.0018
Klhl26,-0.0653,-0.0647,0.0216,0.0222
Asgr2,0.1174,0.1009,0.0612,0.0446
2010007H06Rik,0.0061,-0.0099,0.0015,-0.0145
Cnpy2,-0.0355,-0.1191,0.1034,0.0198
Vsx1,-0.0119,0.021,-0.0138,0.0191
Acvr1c,-0.0513,-0.0305,-0.0428,-0.0219
RP23-440D19.2,-0.0029,0.0444,-0.0467,6.01304146441883E-4
Dido1,0.0722,-0.2444,0.0211,-0.2955
Magi3,-0.0156,-0.037,-0.0219,-0.0433
Foxk1,0.0669,0.077,0.0346,0.0447
Klk10,0.1923,0.3708,0.0972,0.2757
Saal1,0.0294,-0.0475,0.0381,-0.0387
Mef2c,-0.0257,-0.0799,-0.0339,-0.0881
Mnd1,0.0108,-0.0981,0.0309,-0.078
Tcfl5,-0.5846,-0.6683,-0.3699,-0.4536
Mrgpre,-0.4897,-0.535,-0.3462,-0.3915
Tbx20,-8.63E-04,0.0138,0.0103,0.0249
Dhx37,-0.0319,0.0476,-0.0819,-0.0024
N4bp2,0.7047,0.6401,0.3272,0.2626
4932425I24Rik,1.0264,0.6776,0.9456,0.5968
Mrgprg,0.0414,0.0998,-0.0641,-0.0057
Sfrs4,-0.1734,0.161,-0.2276,0.1069
Nckipsd,0.1042,0.0622,0.1169,0.0749
Heatr3,-0.0144,-0.064,0.0118,-0.0379
Prom2,-0.1004,-0.115,-0.0955,-0.1101
Magee1,0.0036,-0.0788,0.0254,-0.0571
Extl1,0.3696,0.3225,0.3703,0.3231
Tmem198,-0.0224,0.1082,-0.023,0.1076
Setd1a,-0.0775,0.0543,-0.1992,-0.0674
Sult2a2,0.0212,0.0042,0.0025,-0.0145
AC160052.1,0.0181,-0.0412,0.0348,-0.0245
Card10,0.2939,0.4389,0.1654,0.3104
Trem3,0.0266,0.0404,0.0058,0.0197
Cuzd1,0.0498,0.0758,-0.0076,0.0184
Ppara,0.0455,0.0094,0.0051,-0.031
AC158997.3,0.0606,0.0968,0.0334,0.0696
A3galt2,0.0241,0.0018,-0.0012,-0.0235
C730007P19Rik,0.0682,0.0026,0.0525,-0.0131
Trf,0.0978,-0.0093,0.1054,-0.0018
Orai3,-0.1324,-0.0318,-0.1429,-0.0423
RP23-331L12.7,0.0436,0.0674,0.0613,0.0851
Dscam,-0.0133,0.0592,-0.0461,0.0264
Ppp1r2,-0.1064,-0.3594,0.0422,-0.2109
Il4ra,0.0074,0.0404,-0.0115,0.0215
Dus1l,0.033,-0.1697,-0.0669,-0.2696
Cckar,-0.0319,0.0028,0.0026,0.0374
St6galnac5,-0.0258,-0.0732,0.0091,-0.0382
Tnc,-0.0725,-0.0654,-0.0623,-0.0552
Zfp398,-0.0242,-0.0504,-0.008,-0.0342
Anxa2,-0.8068,-0.8315,-0.6351,-0.6597
Dctd,0.1694,0.4656,-0.075,0.2212
Rbbp7,0.0051,0.1613,0.121,0.2772
Col9a3,-0.0058,-0.0364,0.0224,-0.0082
Gsta1,0.0138,-0.0449,0.0325,-0.0262
Olfr1084,-0.0195,-0.0466,0.0399,0.0127
3110057O12Rik,-0.0369,0.0902,-0.022,0.1052
Phrf1,0.0015,-0.0572,0.0098,-0.0488
Dll3,0.04,-0.0361,0.0619,-0.0142
Hormad2,0.4311,0.1886,0.2487,0.0062
Cd300d,0.0397,-0.0146,-0.0235,-0.0779
Slc19a3,-0.0126,0.0131,-0.0041,0.0216
Hopx,-0.714,-0.2555,-0.7787,-0.3202
Ctla2b,0.0713,0.0292,0.0492,0.0071
Pah,0.0141,-0.02,0.0335,-5.71634556097322E-4
C1qtnf5,0.0044,0.0435,4.76E-04,0.0396
Cntnap4,-0.0705,-0.028,-0.1228,-0.0803
Trem1,0.0329,0.0233,0.0032,-0.0064
