genes,adjP(Z6/E14Tg2a),adjP(OKO160/E14Tg2a),adjP(Z6/OctGip),adjP(OKO160/OctGip)
4930578N16Rik,0.1271,0.3722,0.4272,0.779405771
Ece1,0.6729,0.3298,0.5506,0.819403632
Zc3h6,0.7479,0.3762,0.8337,0.452662639
Hpca,0.0653,0.0938,0.9278,0.984747922
2310046K01Rik,0.019,0.0023,0.0475,0.004446576
Slc4a3,0.4688,0.3498,0.9143,0.958293336
Ywhae,0.6338,0.2545,0.9484,0.862336899
Nt5c,0.5499,0.6502,0.6625,0.743801501
Btnl9,0.9283,0.8609,0.9945,0.964329146
Tlcd1,0.9714,0.8044,0.9452,0.774091671
2610024G14Rik,0.4909,0.1171,0.7669,0.250974521
Rab40b,0.9564,0.9894,0.8446,0.890947595
AL833780.4,0.4688,0.1314,0.8659,0.416948847
Bcl6b,0.4267,0.5365,0.0366,0.044165356
Zc3h8,0.9425,0.8127,0.6183,0.73069906
Saa2,0.9656,0.7566,0.8744,0.617423826
Fzd9,0.9924,0.6022,0.8943,0.877860336
Pkp4,0.1435,0.1812,0.8347,0.873464552
Armc7,0.5679,0.8865,0.9979,0.775762714
Fam110a,0.133,0.0161,0.4095,0.052737325
Treml1,0.9853,0.9128,0.9918,0.941804547
Rpl21,0.8915,0.2001,0.7992,0.028756925
Stmn3,0.0286,0.9249,0.0572,0.995998607
Sepn1,0.9125,0.5397,0.8367,0.76682314
Cep110,0.7736,0.808,0.6212,0.633042232
Angpt4,0.9383,0.9843,0.9163,0.782403828
Mxd1,0.8706,0.845,0.8681,0.850229843
Fbln7,0.4585,0.9389,0.6677,0.989546417
AC175490.1,0.8915,0.8643,0.4829,0.829977728
Chst15,0.5732,0.2803,0.899,0.630075022
Cryba2,0.6282,0.5918,0.6211,0.570510633
Gtdc1,0.3053,0.5674,0.6626,0.888818257
Pax8,0.9622,0.8481,0.9416,0.999417833
Gmeb2,0.9089,0.284,0.8914,0.391134146
Wdr45l,0.8254,0.1344,0.8519,0.655109004
Slc16a5,0.9834,0.5931,0.7631,0.988110657
Tmem80,0.9584,0.793,0.6551,0.399265948
Bnip2,0.2254,0.0232,0.7243,0.131480824
Tmem54,0.1379,0.0154,0.0617,0.005484997
Cttn,0.8611,0.8359,0.9512,0.788184489
Slc29a4,0.8206,0.7672,0.981,0.60233832
4933422H20Rik,0.7722,0.5155,0.6135,0.331691522
Supt5h,0.9387,0.8777,0.8266,0.988401138
Rnpep,0.0126,0.1561,0.0476,0.43706301
Psmf1,0.3522,0.783,0.8832,0.891002598
Piwil1,0.5685,0.1733,0.8874,0.447449838
Tmem87b,0.9381,0.4967,0.8933,0.676811529
Slc16a13,0.1559,0.1673,0.2955,0.295518257
5430405G05Rik,0.6673,0.8643,0.9752,0.821376626
Fam54b,0.4598,0.8315,0.7008,0.970156601
Pcolce,0.9986,0.0486,0.9478,0.029640074
Fzd10,0.6638,0.0339,0.4579,0.094439739
Adcy7,0.394,0.563,0.9742,0.947883527
Slc24a2,0.9502,0.7305,0.9605,0.933379965
Unc13c,0.9416,0.6331,0.7707,0.973705446
BC006779,0.9393,0.0898,0.9023,0.06506638
Asprv1,0.9505,0.2114,0.7066,0.601534412
Alpl,0.5099,0.7026,0.378,0.561614252
Ccdc148,0.9677,0.9761,0.9028,0.898482422
Foxk2,0.4638,0.4073,0.4184,0.351340607
Tgs1,0.9801,0.8939,0.8603,0.637704181
Baz1b,0.7008,0.1651,0.9362,0.706731783
Kctd2,0.8784,0.953,0.804,0.860847177
Crk,0.7609,0.5397,0.5806,0.334356015
Rragc,0.4916,0.609,0.9822,0.964329146
BC051628,0.9501,0.6128,0.5121,0.826352467
Foxb1,0.9068,0.7684,0.998,0.663274007
Trem2,0.5977,0.2245,0.7665,0.335972701
Cyb5d2,0.4495,0.6704,0.9624,0.782924365
Xlr5c,0.8732,0.7484,0.9091,0.791823898
9930013L23Rik,0.795,0.6092,0.9114,0.765611939
Wipi2,0.2221,0.8085,0.8253,0.816104749
Xpo6,0.4656,0.1606,0.7441,0.972407304
Fev,0.8825,0.9405,0.993,0.803216934
Srms,0.7709,0.2387,0.7478,0.198401813
Usp12,0.6428,0.9849,0.1545,0.459387073
Mertk,0.641,0.3767,0.8903,0.999006706
Rnf19b,0.6642,0.8538,0.6394,0.806639725
AC150648.1,0.7539,0.5514,0.9216,0.771540028
Taf5l,0.2527,0.8181,0.2648,0.816047167
Cpxm2,0.4114,0.7181,0.8999,0.959017535
RP23-297N24.8,0.7654,0.7018,0.8448,0.73398916
Narf,0.8065,0.9491,0.8954,0.930656212
Olfr1394,0.7789,0.8772,0.8874,0.953351132
Lrig2,0.8126,0.5159,0.674,0.872856125
Ptk6,0.5099,0.7966,0.9813,0.854278081
Gpr26,0.8304,0.9843,0.8603,0.549311412
Bcl7b,0.8708,0.6855,0.9914,0.93089919
AI182371,0.6197,0.3701,0.7496,0.479657661
Pcbp1,0.923,0.5423,0.8239,0.79775334
Atp5h,0.9545,0.2123,0.4843,0.805686248
Gpn1,0.3065,0.1859,0.6422,0.44976506
Nek8,0.9053,0.5359,0.9517,0.642072211
Deaf1,0.751,0.486,0.888,0.997951192
5930412G12Rik,0.7385,0.8185,0.7489,0.80010427
Mospd3,0.8687,0.8104,0.9503,0.7743382
Xlr3c,0.6837,0.5158,0.9554,0.994925035
4932441K18Rik,0.1327,0.0087,0.6058,0.052787217
Ppdpf,0.6735,0.0111,0.9446,0.08872856
Snph,0.3249,0.5845,0.9877,0.852370117
Epb4.1l4b,0.0463,0.8782,0.4694,0.631637767
AC159994.1,0.9994,0.9051,0.9527,0.99104858
Gpr12,0.9417,0.8884,0.6966,0.902204356
Mmd2,0.6627,0.6985,0.5876,0.607293144
Ict1,0.2111,0.6581,0.45,0.897242038
Mycbp,0.816,0.2775,0.7534,0.205000217
AC093356.5,0.7234,0.9251,0.977,0.567473178
Papolb,0.5934,0.9612,0.6901,0.983638799
Tmem132d,0.907,0.9384,0.8733,0.894521326
Olfr1395,0.84,0.9671,0.9691,0.735481569
Sdcbp2,0.657,0.3767,0.5338,0.254251163
Tmpo,0.5869,0.5696,0.7573,0.705513329
Drd4,0.1058,0.7441,0.8455,0.635818282
Eef1a2,0.9216,0.3965,0.9732,0.681879705
Upp2,0.9487,0.2495,0.9119,0.590877679
Sertad2,0.18,0.0099,0.4651,0.026587376
Atp1a1,0.0792,0.1443,0.06,0.096713942
Rhbdl2,0.6659,0.0763,0.8503,0.656986781
Mesdc2,0.7841,0.9553,0.9953,0.882466102
4930548H24Rik,0.6281,0.989,0.7386,0.978402816
Saa1,0.4021,0.6314,0.6048,0.8063692
Glt1d1,0.1495,0.8841,0.0585,0.616843855
Gm5546,0.9669,0.9671,0.944,0.995122091
Paqr7,0.8481,0.7868,0.985,0.99820686
Zfp668,0.9794,0.621,0.7644,0.967121021
BC017643,0.9586,0.3893,0.9937,0.55342456
Shank2,0.4657,0.5819,0.9648,0.981993199
Elf3,0.0018,0.0268,0.0297,0.447327779
Rsl24d1,0.9586,0.7054,0.8702,0.906512813
Sct,0.1757,0.9254,0.716,0.474233187
Akirin1,0.4279,0.7157,0.2986,0.925740785
Hmx2,0.6204,0.2627,0.5873,0.217001236
Cdr2l,0.1443,0.2174,0.6596,0.767976717
AC093356.1,0.7234,0.9251,0.977,0.567473178
Plekhf2,0.8865,0.4188,0.9118,0.855288151
Abcb10,0.6695,0.2486,0.9415,0.841186454
Acer2,0.3958,0.2955,0.4358,0.313643185
Traf4,0.9411,0.1657,0.6593,0.041639838
6430704M03Rik,0.7312,0.9891,0.919,0.89596617
Mesdc1,0.6014,0.4472,0.566,0.396016427
Trfr2,0.9939,0.8967,0.9732,0.854608616
Hexdc,0.0777,0.8456,0.0227,0.907766539
4930449I24Rik,0.7234,0.9251,0.977,0.567473178
B430306N03Rik,0.5347,0.6385,0.9605,0.869158401
Arhgap15,0.9614,0.6339,0.8568,0.974297774
Hc,0.5092,0.7766,0.8325,0.570505119
AC133502.2,0.8396,0.6746,0.8677,0.947719518
1110031I02Rik,0.721,0.6866,0.8536,0.830402536
BC017647,0.5057,0.6278,0.9611,0.218829654
Timm50,0.6787,0.5291,0.8907,0.394126529
Ano2,0.8435,0.1769,0.9045,0.634898107
AC093356.3,0.7234,0.9251,0.977,0.567473178
2410004A20Rik,0.0015,0.017,9.64393141828692E-4,0.005858968
Fmo2,0.8034,0.3355,0.9297,0.835383767
4930449I24Rik,0.9464,0.9553,0.7863,0.895503069
C630004H02Rik,0.8712,0.7283,0.9877,0.912099463
Ppig,0.086,0.1376,0.5814,0.704983838
Mrc1,0.6231,0.7454,0.9647,0.983638799
Tbl2,0.1591,0.4074,0.6379,0.91413706
AC093356.4,0.7234,0.9251,0.977,0.567473178
D430042O09Rik,0.8947,0.9257,0.8665,0.88261125
Ankfy1,0.5589,0.7287,0.8278,0.934007568
C87436,0.1713,0.3297,0.9947,0.868527618
Kcnmb1,0.9776,0.4775,0.6039,0.990938514
Fkbp1a,0.1494,0.1405,0.1597,0.133745367
Lztfl1,0.9488,0.573,0.9804,0.678871916
Fam23a,0.9554,0.9868,0.5982,0.673371746
Rest,0.8516,0.9432,0.8418,0.99483872
Dsel,0.1909,0.0854,0.3259,0.140108034
Otop3,0.6173,0.6638,0.9591,0.909735392
Treml2,0.5713,0.9302,0.6467,0.952031849
Coq10a,0.9095,0.9218,0.9667,0.754291433
Shkbp1,0.8878,0.8206,0.9209,0.85573132
1700026D08Rik,0.3507,0.5598,0.6907,0.863894919
Saa4,0.9677,0.9144,0.8799,0.680489687
Hmx3,0.9884,0.6988,0.9579,0.616720377
Kcnq2,0.9401,0.2822,0.7578,0.632236941
Ccni,0.9399,0.8588,0.847,0.726082596
Uts2r,0.7054,0.5691,0.5693,0.409903464
Lmo3,0.4197,0.7885,0.4104,0.764610681
Klk6,0.9949,0.9282,0.9927,0.932350577
Ube2g1,0.2616,0.0646,0.8582,0.427234101
Tex19.1,0.245,0.2892,0.784,0.818487111
Fastkd1,0.4831,0.4966,0.6371,0.477910251
Slc16a11,0.5112,0.8287,0.8631,0.978402816
Olfr1396,0.9721,0.8456,0.9362,0.695150071
Tex19.2,0.5456,0.684,0.7978,0.559953892
8430408G22Rik,0.8898,0.8746,0.6598,0.943460675
Bcl2l11,0.449,0.0237,0.9639,0.186354421
Stk11ip,0.8752,0.6336,0.3839,0.168857784
Msh4,0.5163,0.1835,0.7225,0.303327255
1700022K14Rik,0.9794,0.9591,0.653,0.488598507
Ush1g,0.9706,0.842,0.767,0.55558335
Nsfl1c,0.4277,0.6773,0.9019,0.980444763
Cryzl1,0.2612,0.5404,0.2239,0.483320027
Gpr37l1,0.7423,0.8347,0.9617,0.880835373
Cdhr5,0.5362,0.9037,0.8561,0.9519238
Ak2,0.1757,0.0416,0.5364,0.1640498
Stim2,0.4779,0.5453,0.8096,0.334616542
Saa3,0.8609,0.9604,0.6805,0.784458041
Acoxl,0.0821,0.2082,0.1818,0.38576162
4921509C19Rik,0.9416,0.6907,0.9849,0.799273687
Asb17,0.477,0.4355,0.6496,0.599377618
Spp1,0.6092,0.1961,0.8676,0.102983989
Slc25a3,0.6725,0.2013,0.4385,0.873946017
Kbtbd10,0.871,0.9506,0.97,0.984747922
Ppm1b,0.0291,0.5701,0.0092,0.247984979
Inha,0.855,0.8783,0.405,0.78915408
Sectm1a,0.9393,0.7328,0.9654,0.795850648
Papd5,0.8012,0.8475,0.9813,0.994174097
Otop2,0.7365,0.9962,0.8373,0.988950108
Actl6b,0.8627,0.7666,0.9625,0.488944095
Stx4a,0.1761,0.4489,0.6059,0.897250318
Wnt6,0.012,5.51132524874858E-4,0.0086,3.58930915088534E-4
Rab27a,0.0017,1.71379622218536E-4,0.0019,1.17085125430499E-4
Atf2,0.9126,0.5081,0.8475,0.409745829
1300017J02Rik,0.9151,0.6239,0.9772,0.871271643
Rps6,0.9873,0.8207,0.8385,0.964536435
9430002A10Rik,0.8782,0.5932,0.58,0.967121021
Fads6,0.0093,0.5005,0.0123,0.58930297
Phf8,0.9415,0.8822,0.8268,0.983843512
Sectm1b,0.9704,0.5824,0.6532,0.991065742
Gne,0.2019,0.374,0.2794,0.473117335
4833442J19Rik,0.8365,0.7109,0.9462,0.992897719
Tmem68,0.7873,0.4718,0.9209,0.960724559
Chd3,0.7669,0.8586,0.6912,0.769704754
Nxf7,0.3493,0.2804,0.9605,0.927149144
Spns3,0.7657,0.9121,0.98,0.857027587
Radil,0.6158,0.3442,0.4361,0.193599458
AC116389.1,0.3909,0.5561,0.9486,0.976325629
Prss39,0.8858,0.9933,0.6858,0.454932304
Fdxr,0.1088,0.1391,0.2341,0.274358128
Chrna4,0.6286,0.579,0.9697,0.957472205
Cd7,0.9387,0.9325,0.9452,0.965350895
Praf2,0.9537,0.8993,0.7448,0.635133509
Mepe,0.7339,0.4381,0.8603,0.583930691
Ogt,0.5541,0.4045,0.6985,0.538014915
Ikzf5,0.7202,0.876,0.8475,0.950528906
Slc6a20a,0.8002,0.9053,0.9497,0.993652867
Nanp,0.6092,0.5577,0.4973,0.781551994
Zfp365,0.8193,0.2783,0.6206,0.127604021
Gm5138,0.1379,0.0696,0.8975,0.732220558
Stx1b,0.6116,0.9587,0.5228,0.875526783
5730460C07Rik,0.8937,0.8789,0.7683,0.988950108
A030009H04Rik,0.6056,0.7563,0.9909,0.935883591
Bub1,0.9234,0.8085,0.3747,0.752117528
Itga9,0.7911,0.0303,0.9169,0.019754771
Wnk1,0.687,0.377,0.6118,0.591956639
Cdh19,0.3535,0.2683,0.9522,0.981430418
Ndufs5,0.5571,0.9279,0.3652,0.756692006
Eral1,0.9884,0.6797,0.8373,0.424064324
Spink2,0.8602,0.4101,0.5891,0.02985259
Igf1,0.8879,0.7911,0.9947,0.95347879
Larp7,0.6852,0.8471,0.9617,0.824843338
Traf1,0.1324,0.5273,0.2006,0.657951556
Apod,0.0286,0.0088,0.2227,0.064127566
RP23-351B24.3,0.9618,0.8294,0.5891,0.848314052
Wasf3,0.9227,0.9113,0.977,0.882763787
Stmn1,0.2266,0.4903,0.8475,0.992766386
Psd4,0.757,0.2671,0.9186,0.826767605
Klk7,0.5652,0.4538,0.9991,0.971706333
Grin2c,0.3729,0.3055,0.9509,0.91413706
Mgl1,0.1382,0.6469,0.3534,0.913501532
Mgst1,0.983,0.6978,0.3244,0.088254773
Csnk1d,0.8337,0.3307,0.849,0.056191171
Ppm1m,0.8947,0.3995,0.6112,0.971092492
Igsf3,0.1193,0.1733,0.1234,0.163411168
1500011K16Rik,0.5687,0.1154,0.737,0.948149398
Cog4,0.0683,0.8683,0.6564,0.586560182
Ifi47,0.7886,0.9338,0.7239,0.988307068
Col20a1,0.3243,0.8777,0.2754,0.809991791
Acvr1,0.9438,0.2707,0.8755,0.192632106
Slc15a4,0.9012,0.6921,0.9032,0.705683838
Sept11,0.9762,0.7512,0.859,0.997729058
Ibsp,0.4712,0.848,0.6776,0.964060912
Celsr3,0.797,0.2536,0.7859,0.222334007
Tgtp2,0.1322,0.5488,0.404,0.89479386
Mpnd,0.9152,0.3547,0.5351,0.866576787
AV320801,0.9813,0.6081,0.972,0.779405771
Emid1,0.5589,0.7563,0.7906,0.924069978
9230112E08Rik,0.9488,0.3519,0.9446,0.652383412
Dhx57,0.9577,0.7408,0.8585,0.403306934
Irf7,0.8975,0.8353,0.6981,0.599248494
Phf19,0.3185,0.8432,0.6703,0.978467296
Pstk,0.9849,0.8257,0.8702,0.585318342
Il16,0.892,0.5695,0.8297,0.99483872
Ninl,0.5108,0.3365,0.1342,0.061169675
Mlxipl,0.1112,0.8674,0.3534,0.616630699
C330006K01Rik,0.6737,0.6253,0.9098,0.876307293
St6galnac3,0.6825,0.8028,0.8846,0.959546092
Odz3,0.658,0.727,0.1452,0.160854472
Nphp1,0.6976,0.4713,0.9696,0.956033678
Rap1gap,0.8649,0.6389,0.9909,0.438033345
Kcnab3,0.9967,0.5453,0.8634,0.312291924
Spns2,0.7114,0.9422,0.4556,0.721053312
Wdr69,0.9661,0.8479,0.8509,0.678625588
Dennd5b,0.9896,0.5665,0.7404,0.964871488
Ubr2,0.1254,0.1565,0.254,0.28831015
Tpm2,0.118,0.0046,0.1838,0.006020071
Tmem132c,0.8252,0.8571,0.8433,0.9225045
Slc16a3,0.4326,0.2429,0.6201,0.372291813
Fam120c,0.9672,0.919,0.7988,0.916083935
Mall,0.2235,0.508,0.4075,0.730561986
Slc6a20b,0.0206,0.0294,0.0702,0.090013409
Gins1,0.3302,0.1605,0.8702,0.647427139
Arfgap1,0.9945,0.251,0.9376,0.416776555
9930111J21Rik1,0.5292,0.7172,0.8051,0.564227711
AC131184.1,0.8065,0.7747,0.9614,0.950411659
Ttc3,0.3089,0.0895,0.6198,0.22487116
Adc,0.8095,0.7936,0.9918,0.99104858
Atrx,0.8941,0.484,0.6341,0.212499871
Nat9,0.1134,0.1623,0.8009,0.869317114
Cpne2,0.3243,0.9414,0.9147,0.440379636
Akr1b3,0.4199,0.1242,0.45,0.120835914
Ccdc57,0.9233,0.6747,0.9605,0.761792222
Xlr4c,0.3127,0.9666,0.2374,0.882908961
Rgs8,0.8126,0.8607,0.9666,0.731681635
Dhcr7,0.9801,0.8102,0.8998,0.606579614
Ado,0.948,0.4504,0.507,0.936869034
Mcm2,0.1524,0.0105,0.9237,0.574800992
Slc9a3r1,0.9222,0.8886,0.608,0.855853975
RP23-351B24.2,0.9618,0.8294,0.5891,0.848314052
Gtf3c1,0.254,0.5829,0.3146,0.66135585
Abhd12,0.9786,0.6988,0.8791,0.542184053
Mal,0.9932,0.7417,0.879,0.972444419
Cdk8,0.9117,0.0871,0.9604,0.231775842
AC100382.1,0.8018,0.9836,0.731,0.912096547
Zfp512,0.1015,0.1124,0.1471,0.146367298
Atp2b1,0.3133,0.2909,0.9028,0.885452974
Rnf6,0.6326,0.3086,0.838,0.02108229
Myo1c,0.9939,0.8966,0.9772,0.96593525
Nkain4,0.7137,0.3935,0.6885,0.348951545
Slc15a5,0.4652,0.6019,0.6574,0.773866112
D730039F16Rik,0.3711,0.8806,0.9668,0.682479242
1700001J03Rik,0.7853,0.574,0.9635,0.965097111
Hsd3b7,0.108,0.0149,0.3158,0.005479627
AC113316.1,0.7234,0.9251,0.977,0.567473178
Cd300lf,0.999,0.9032,0.9594,0.983638799
Pygb,0.6563,0.9901,0.9967,0.698965217
AL954707.3,0.0122,0.3962,0.0189,0.51807746
Trappc1,0.0956,0.2565,0.0681,0.175904436
Birc7,0.0122,0.3962,0.0189,0.51807746
Mtmr3,0.0062,0.2766,0.0356,0.76181675
Gins4,0.0927,0.0633,0.496,0.373701065
Aacs,0.6427,0.8008,0.9072,0.98921372
Npnt,0.6382,0.8427,0.6965,0.860989432
Ppp1r3a,0.9925,0.9942,0.9295,0.902538295
Kcnip1,0.9992,0.6746,0.9784,0.67370197
Fmo1,0.7825,0.4775,0.458,0.89479386
Nadsyn1,0.3758,0.9056,0.5209,0.973172872
Klk8,0.618,0.5414,0.7011,0.706731783
Mrps5,0.0508,0.0925,0.9815,0.936514134
Ythdf1,0.279,0.7323,0.7005,0.995998607
Gemin6,0.3864,0.9925,0.7385,0.829977728
Arl8a,0.9672,0.2076,0.989,0.257459772
Mmp16,0.8509,0.5488,0.8437,0.533598204
Npl,0.91,0.919,0.767,0.952693557
Treml4,0.5669,0.4216,0.9098,0.80192151
Mgl2,0.1382,0.6469,0.3534,0.913501532
D130052B06Rik,0.9793,0.9897,0.9919,0.986729279
Rad52,0.7423,0.1064,0.6853,0.841186454
Bhlhe23,0.5384,0.859,0.7701,0.981654184
Psmd5,0.7316,0.4977,0.9845,0.85573132
Axin1,0.3336,0.7549,0.8427,0.944880926
Epb4.1,0.8915,0.1954,0.8634,0.295157788
AI451557,0.991,0.6988,0.9634,0.846795279
4921510H08Rik,0.7959,0.6968,0.9496,0.980790917
Gsc2,0.6231,0.7923,0.9966,0.897115562
Fgf16,0.9786,0.6951,0.9215,0.930671914
Dnajc30,0.5655,0.9527,0.9918,0.709361517
Tbc1d19,0.6491,0.298,0.8603,0.505353691
3110021A11Rik,0.8076,0.9489,0.987,0.926458486
Ikbip,0.8609,0.845,0.8503,0.932595783
Chga,0.1815,0.016,0.8478,0.19091396
Wnk3,0.4609,0.4797,0.4758,0.491602442
D730040F13Rik,0.9118,0.8339,0.9362,0.865449943
Rab37,0.8776,0.6928,0.884,0.780505052
Slc17a9,0.6942,0.2242,0.8799,0.392396189
Bclp2,0.9908,0.8427,0.987,0.920197865
Pigb,0.5924,0.9432,0.5223,0.872310783
Bbs5,0.2736,0.2359,0.9967,0.988950108
Trim62,0.2389,0.5872,0.8956,0.494689687
Dennd4c,0.3383,0.673,0.919,0.919267011
Fam24a,0.8952,0.9912,0.8433,0.950215304
Wdr82,0.4646,0.7474,0.7593,0.9519238
Tpbpb,0.9728,0.9684,0.888,0.867613342
Trim2,0.0047,0.0078,0.0229,0.031230857
Flot2,0.214,0.143,0.9965,0.964226098
Il21r,0.7405,0.9248,0.6572,0.987921171
2310003C23Rik,0.3507,0.0177,0.745,0.697845359
Fitm1,0.1713,0.9566,0.3334,0.864529895
1700007K09Rik,0.9002,0.5363,0.7903,0.992766386
Fasn,0.9313,0.1047,0.2233,0.993462235
Cs,0.914,0.6747,0.7011,0.96723332
Dysf,0.7219,0.2536,0.9655,0.759180414
AC159313.1,0.9122,0.5593,0.8008,0.8203791
Zfp362,0.7853,0.8291,0.7602,0.779405771
Stard5,0.0825,0.2009,0.1441,0.161548183
Stap2,0.9203,0.3413,0.917,0.735481569
Nup133,0.6223,0.541,0.4376,0.348247877
Tgtp1,0.1322,0.5488,0.404,0.89479386
Rassf4,0.8993,0.3164,0.9994,0.21754434
Gm5128,0.6454,0.6212,0.7253,0.689830948
Ttc39d,0.2459,0.3131,0.4025,0.480702671
Ccl20,0.574,0.7053,0.5066,0.626346698
Actr3,0.5358,0.261,0.9861,0.876938811
Entpd6,0.7749,0.4056,0.9563,0.678169239
1810046K07Rik,0.8883,0.9105,0.7504,0.964536435
Pafah2,0.2359,0.0937,0.9468,0.737106967
Klk9,0.5687,0.8432,0.9015,0.967321031
Shoc2,0.6806,0.8855,0.9618,0.937792772
Cypt2,0.8956,0.6079,0.9908,0.80788462
Clm3,0.7052,0.4538,0.6198,0.348478225
1700027A23Rik,0.9866,0.3375,0.5982,0.060756212
Fam60a,0.1527,0.2019,0.537,0.615350741
Cntrob,0.8457,0.782,0.9897,0.992897719
Dntt,0.8098,0.9954,0.8537,0.993412762
Klhl26,0.4652,0.4413,0.909,0.88476317
Asgr2,0.2245,0.2996,0.6983,0.779405771
2010007H06Rik,0.9706,0.9432,0.9947,0.937565177
Cnpy2,0.9158,0.5646,0.7359,0.967241038
Vsx1,0.9538,0.8975,0.9605,0.934362007
Acvr1c,0.6549,0.8128,0.7992,0.904377661
RP23-440D19.2,0.9813,0.4923,0.5663,0.997729058
Dido1,0.9258,0.6091,0.9875,0.574879108
Magi3,0.9063,0.6865,0.8932,0.678169239
Foxk1,0.504,0.3857,0.8475,0.735024256
Klk10,0.2333,0.0118,0.7221,0.060602541
Saal1,0.825,0.64,0.8167,0.773164664
Mef2c,0.8695,0.4001,0.8634,0.384599735
Mnd1,0.9634,0.4177,0.9113,0.617386034
Tcfl5,0.029,0.0119,0.2335,0.092499531
Mrgpre,0.0214,0.0114,0.1355,0.06310081
Tbx20,0.995,0.9025,0.9579,0.834998351
Dhx37,0.941,0.8943,0.8619,0.997729058
N4bp2,0.0055,0.0089,0.2554,0.374551566
4932425I24Rik,5.91815852091984E-4,0.0061,0.0012,0.012900743
Mrgprg,0.7531,0.2589,0.6382,0.982100822
Sfrs4,0.4857,0.5013,0.3618,0.755628706
Nckipsd,0.5083,0.7288,0.5001,0.709064408
Heatr3,0.9457,0.6102,0.9691,0.840892475
Prom2,0.4883,0.374,0.5947,0.455925432
Magee1,0.9895,0.6127,0.9416,0.792943561
Extl1,0.0117,0.0226,0.0139,0.021911948
Tmem198,0.9157,0.3459,0.9362,0.394972109
Setd1a,0.782,0.8502,0.3552,0.8396983
Sult2a2,0.8803,0.9784,0.9924,0.941380048
AC160052.1,0.9235,0.7643,0.8713,0.905840206
Card10,0.3243,0.0902,0.7363,0.300585014
Trem3,0.8746,0.7649,0.9858,0.930362822
Cuzd1,0.6102,0.3276,0.9735,0.910404339
Ppara,0.541,0.9294,0.978,0.75338682
AC158997.3,0.4803,0.1635,0.8257,0.414518671
A3galt2,0.7947,0.9881,0.9947,0.823820064
C730007P19Rik,0.5464,0.9891,0.7502,0.956725411
Trf,0.4398,0.966,0.4495,0.996186573
Orai3,0.1382,0.8213,0.1289,0.784518387
RP23-331L12.7,0.7052,0.4538,0.6198,0.348478225
Dscam,0.9227,0.4392,0.6836,0.834361528
Ppp1r2,0.6782,0.0345,0.9292,0.288701595
Il4ra,0.9537,0.5683,0.9438,0.844410018
Dus1l,0.9393,0.484,0.8933,0.222179182
Cckar,0.8124,0.9869,0.9925,0.791447019
St6galnac5,0.9006,0.5796,0.9788,0.852446408
Tnc,0.531,0.5587,0.6839,0.701048357
Zfp398,0.8851,0.6729,0.9772,0.839465705
Anxa2,0.0484,0.0374,0.1636,0.114934981
Dctd,0.5224,0.0201,0.8783,0.368707399
Rbbp7,0.9883,0.3254,0.6103,0.059538306
Col9a3,0.97,0.6956,0.891,0.966277287
Gsta1,0.9122,0.5593,0.8008,0.8203791
Olfr1084,0.9008,0.6636,0.812,0.953010452
3110057O12Rik,0.8125,0.3763,0.9282,0.314864315
Phrf1,0.9954,0.7363,0.9797,0.823711978
Dll3,0.8085,0.8158,0.7291,0.958862405
Hormad2,0.0043,0.2105,0.11,0.99060454
Cd300d,0.7722,0.9266,0.9176,0.487820142
Slc19a3,0.9384,0.9272,0.9877,0.897883338
Hopx,0.2667,0.7758,0.256,0.750136482
Ctla2b,0.4717,0.8203,0.7449,0.975555509
Pah,0.925,0.8728,0.8339,0.997951192
C1qtnf5,0.9746,0.5706,0.9977,0.679423616
Cntnap4,0.2382,0.7275,0.0318,0.166789116
Trem1,0.7862,0.8503,0.9909,0.976204791
Ogfr,0.459,0.063,0.8365,0.204567097
Cd300ld,0.5523,0.6487,0.9942,0.179720765
Gucy2e,0.8261,0.8262,0.9524,0.739022658
Mrpl28,0.1093,0.2761,0.158,0.360071349
Adam6a,0.9476,0.6231,0.907,0.94152126
A330017A19Rik,0.9789,0.9899,0.927,0.897705781
Gnb2,0.6981,0.5449,0.5155,0.350223529
Sfrs1,0.6283,0.2239,0.9732,0.645497198
Cypt4,0.3916,0.3589,0.7238,0.676239145
BC089491,0.8605,0.3168,0.884,0.339793962
Acss1,0.3633,0.4483,0.6338,0.709884177
Dis3,0.8631,0.0114,0.6312,0.003844316
Ptpn7,0.9819,0.9685,0.9663,0.973554413
Olfr56,0.8861,0.8788,0.4684,0.437378622
Epyc,0.8494,0.5678,0.9705,0.779405771
Lrrc50,0.1275,0.1623,0.2597,0.300815743
1600027N09Rik,0.7751,0.6868,0.8278,0.728619421
Cox7b2,0.8333,0.9362,0.9797,0.816047167
Car9,0.7458,0.6103,0.6136,0.679891521
Nsmce1,0.0219,0.0105,0.1805,0.076867489
Gm5128,0.6454,0.6212,0.7253,0.689830948
Mfng,0.8952,0.5068,0.3534,0.973720204
Aldh1b1,7.56648046527162E-4,0.3804,3.83189219555385E-4,0.14967275
Ptpn18,0.9151,0.0127,0.9792,0.008631103
Olfr1082,0.9988,0.9684,0.9145,0.850731566
Ntsr1,0.5462,0.9584,0.8475,0.800288992
Prkag3,0.5669,0.9674,0.9735,0.734858244
2310001A20Rik,0.0123,0.0034,0.2647,0.069441403
Tmem115,0.9208,0.8321,0.8661,0.911284256
5430419D17Rik,0.5538,0.849,0.8817,0.971731167
